COD_PROVINCIA|IND_SEXO|CLASE_PERMISO|DESC_ANTIG_PERMISO|NUM_CONDUCTORES
01|M|A   |2014         |2
01|M|A   |2015         |2
01|M|A   |2018         |8
01|M|A   |2019         |8
01|M|A   |2020         |8
01|M|A   |2021         |6
01|M|A   |2022         |14
01|M|A   |2023         |10
01|M|A   |Anterior_2014|72
01|M|A1  |2014         |2
01|M|A1  |2015         |3
01|M|A1  |2016         |4
01|M|A1  |2017         |2
01|M|A1  |2018         |14
01|M|A1  |2019         |7
01|M|A1  |2020         |10
01|M|A1  |2021         |14
01|M|A1  |2022         |9
01|M|A1  |2023         |14
01|M|A1  |Anterior_2014|187
01|M|A2  |2014         |1
01|M|A2  |2015         |1
01|M|A2  |2016         |4
01|M|A2  |2017         |3
01|M|A2  |2018         |4
01|M|A2  |2019         |8
01|M|A2  |2020         |15
01|M|A2  |2021         |4
01|M|A2  |2022         |12
01|M|A2  |2023         |12
01|M|A2  |Anterior_2014|85
01|M|AM  |2014         |14
01|M|AM  |2015         |8
01|M|AM  |2016         |5
01|M|AM  |2017         |10
01|M|AM  |2018         |14
01|M|AM  |2019         |15
01|M|AM  |2020         |16
01|M|AM  |2021         |30
01|M|AM  |2022         |17
01|M|AM  |2023         |29
01|M|AM  |Anterior_2014|5415
01|M|B   |2014         |1142
01|M|B   |2015         |1061
01|M|B   |2016         |1189
01|M|B   |2017         |1077
01|M|B   |2018         |1277
01|M|B   |2019         |1343
01|M|B   |2020         |1069
01|M|B   |2021         |1372
01|M|B   |2022         |1423
01|M|B   |2023         |1388
01|M|B   |Anterior_2014|64152
01|M|B+E |2017         |1
01|M|B+E |2018         |2
01|M|B+E |2019         |1
01|M|B+E |2020         |1
01|M|B+E |2021         |3
01|M|B+E |2022         |4
01|M|B+E |2023         |7
01|M|B+E |Anterior_2014|24
01|M|C   |Anterior_2014|2
01|M|C+E |Anterior_2014|2
01|M|C1  |2023         |1
01|M|C1  |Anterior_2014|5
01|M|C1+E|Anterior_2014|2
01|M|D1  |Anterior_2014|1
01|M|LVA |2021         |1
01|M|LVA |2023         |1
01|M|LVA |Anterior_2014|1
01|V|A   |2014         |4
01|V|A   |2015         |9
01|V|A   |2016         |1
01|V|A   |2017         |3
01|V|A   |2018         |12
01|V|A   |2019         |26
01|V|A   |2020         |24
01|V|A   |2021         |12
01|V|A   |2022         |24
01|V|A   |2023         |17
01|V|A   |Anterior_2014|1604
01|V|A1  |2014         |9
01|V|A1  |2015         |18
01|V|A1  |2016         |14
01|V|A1  |2017         |26
01|V|A1  |2018         |32
01|V|A1  |2019         |45
01|V|A1  |2020         |33
01|V|A1  |2021         |37
01|V|A1  |2022         |33
01|V|A1  |2023         |38
01|V|A1  |Anterior_2014|2147
01|V|A2  |2014         |8
01|V|A2  |2015         |1
01|V|A2  |2016         |5
01|V|A2  |2017         |3
01|V|A2  |2018         |19
01|V|A2  |2019         |30
01|V|A2  |2020         |21
01|V|A2  |2021         |17
01|V|A2  |2022         |26
01|V|A2  |2023         |33
01|V|A2  |Anterior_2014|1657
01|V|AM  |2014         |49
01|V|AM  |2015         |41
01|V|AM  |2016         |39
01|V|AM  |2017         |48
01|V|AM  |2018         |89
01|V|AM  |2019         |65
01|V|AM  |2020         |60
01|V|AM  |2021         |74
01|V|AM  |2022         |91
01|V|AM  |2023         |96
01|V|AM  |Anterior_2014|20400
01|V|B   |2014         |1443
01|V|B   |2015         |1433
01|V|B   |2016         |1359
01|V|B   |2017         |1146
01|V|B   |2018         |1430
01|V|B   |2019         |1482
01|V|B   |2020         |1026
01|V|B   |2021         |1554
01|V|B   |2022         |1566
01|V|B   |2023         |1862
01|V|B   |Anterior_2014|70497
01|V|B+E |2014         |1
01|V|B+E |2015         |2
01|V|B+E |2016         |2
01|V|B+E |2018         |1
01|V|B+E |2019         |4
01|V|B+E |2020         |2
01|V|B+E |2021         |5
01|V|B+E |2022         |9
01|V|B+E |2023         |17
01|V|B+E |Anterior_2014|254
01|V|C   |2015         |1
01|V|C   |2017         |1
01|V|C   |2019         |1
01|V|C   |Anterior_2014|38
01|V|C+E |2015         |1
01|V|C+E |2020         |1
01|V|C+E |Anterior_2014|18
01|V|C1  |2020         |1
01|V|C1  |2022         |1
01|V|C1  |2023         |1
01|V|C1  |Anterior_2014|68
01|V|C1+E|2020         |1
01|V|C1+E|Anterior_2014|15
