COD_PROVINCIA|IND_SEXO|CLASE_PERMISO|DESC_ANTIG_PERMISO|NUM_CONDUCTORES
01|M|A   |2014          |1
01|M|A   |2015          |2
01|M|A   |2016          |1
01|M|A   |2018          |7
01|M|A   |2019          |3
01|M|A   |2020          |10
01|M|A   |2021          |5
01|M|A   |2022          |11
01|M|A   |2023          |14
01|M|A   |2024          |17
01|M|A   |Anterior_2014 |86
01|M|A1  |2014          |3
01|M|A1  |2015          |3
01|M|A1  |2016          |3
01|M|A1  |2017          |1
01|M|A1  |2018          |8
01|M|A1  |2019          |5
01|M|A1  |2020          |15
01|M|A1  |2021          |12
01|M|A1  |2022          |10
01|M|A1  |2023          |19
01|M|A1  |2024          |23
01|M|A1  |Anterior_2014 |193
01|M|A2  |2016          |3
01|M|A2  |2017          |2
01|M|A2  |2018          |5
01|M|A2  |2019          |9
01|M|A2  |2020          |7
01|M|A2  |2021          |6
01|M|A2  |2022          |9
01|M|A2  |2023          |10
01|M|A2  |2024          |21
01|M|A2  |Anterior_2014 |106
01|M|AM  |2014          |11
01|M|AM  |2015          |10
01|M|AM  |2016          |8
01|M|AM  |2017          |9
01|M|AM  |2018          |18
01|M|AM  |2019          |18
01|M|AM  |2020          |16
01|M|AM  |2021          |29
01|M|AM  |2022          |24
01|M|AM  |2023          |22
01|M|AM  |2024          |32
01|M|AM  |Anterior_2014 |5396
01|M|B   |2014          |1058
01|M|B   |2015          |945
01|M|B   |2016          |1180
01|M|B   |2017          |1096
01|M|B   |2018          |1289
01|M|B   |2019          |1340
01|M|B   |2020          |1067
01|M|B   |2021          |1369
01|M|B   |2022          |1419
01|M|B   |2023          |1386
01|M|B   |2024          |1309
01|M|B   |Anterior_2014 |64082
01|M|B+E |2015          |1
01|M|B+E |2016          |1
01|M|B+E |2017          |2
01|M|B+E |2018          |2
01|M|B+E |2019          |2
01|M|B+E |2021          |1
01|M|B+E |2022          |4
01|M|B+E |2023          |6
01|M|B+E |2024          |2
01|M|B+E |Anterior_2014 |14
01|M|C+E |Anterior_2014 |1
01|M|C1  |Anterior_2014 |9
01|M|C1+E|Anterior_2014 |1
01|M|D1  |2021          |1
01|M|D1  |Anterior_2014 |1
01|V|A   |2014          |1
